Word	SightVocab	Compound	LTS	morphs	Svocab-LTS	"D,ND"	comment
moved	1			2		ND	
movies	 		ND	2		ND	
moving	1		"S,10"	2		ND	sight word + ing
ms			ND	1		ND	
much	0			1	1	D	
must	0			1	1	D	
muzzle			"1,6"	1		D	
my	-1			1	"1,5"	D	
name	0			1	"1,4"	D	
nap			1	1		D	
naps			1	2		D	
near	1			1	"1,9"	D	
nearby	"1, -1"	Compound	"S,S"	2		D	
nearly	1		"S,6"	1	"1,6,9"	D	sight word + ly
need	0			1	"1,9"	D	
needed	0		"S,3,6"	2	"1,3,9"	D	sight word + ed
needs	0		"S,1"	2	"1,9"	D	sight word + s
new	0			1	"1,9"	D	
next	0			1	"1,2"	D	
night	0			1	"1,11"	D	
night's	0		"S,7"	2	"1,7,11"	D	sight word + 's
nights	0		"S,1"	2	"1,2,9"	D	sight word + s
no	-1			1	"1,5"	D	
noise	1			1	"1,4,9"	D	
noises	1		"S,6"	2	"1,6,9"	D	sight word + s
nose	1			1	"1,4"	D	
not	-1			1	1	D	
noticed			"1,5,6,7"	2		D	
now	0			1	"1,9"	D	
nuts			1	2		D	
oak			"1,9"	1		D	
ocean			ND	1		ND	
oceans			ND	2		ND	
of	-1			1		ND	
often			"1,2"	1		D	Fry's 249
oh	0			1		D	
old	-1			1	2	D	
older	-1		"S,6"	2	"2,6"	D	sight word + er
on	-1			1	1	D	
once			ND	1		ND	sight word Dolch1
one	0			1		ND	
only	1			1		ND	
onto	"-1,-1"	Compound	"S,S"	1		D	
open	0			1	"1,5"	D	
opened	0		"S,3"	2	"1,5"	D	sight word + ed
opens	0		"S,1"	2	"1,5"	D	sight word + s
or	0			1	8	D	
other	0			1		ND	
others	0		"S,3"	2		ND	sight word + s
our	1			1	"1,8"	D	
out	-1			1	"1,9"	D	
outside	"-1,1"	Compound	"S,S"	2	0	D	
oven	 		ND	1		ND	
over	0			1	"1,5,8"	D	
overnight	"0,0"	Compound	"S,S"	2		D	
own			"1,9"	1		D	
pack			1	1		D	
packs			1	2		D	
page			"1,4,7"	1		D	
painful			"1,6,9"	2		D	
pan			1	1		D	
parents			"1,2,4"	2		D	
park	0			1	"1,8"	D	
part	1			1	"1,8"	D	
parts	1		"S,1"	2	"1,8"	D	sight word + s
