form,item,perfmat_idx,token,punct,pause_min,pause_max,pause_1q,pause_3q,pause_med,pause_mean,pause_sstd,f0_before_max_med,f0_after_max_med,f0ratio_before_min,f0ratio_before_max,f0ratio_before_1q,f0ratio_before_3q,f0ratio_before_med,f0ratio_before_mean,f0ratio_before_sstd,f0ratio_after_min,f0ratio_after_max,f0ratio_after_1q,f0ratio_after_3q,f0ratio_after_med,f0ratio_after_mean,f0ratio_after_sstd
Grade1Fall,1603,35,sounds,.,3,105,43.5,64.5,54.0,54.8,26.530844582970108,250.45641025641027,274.20555555555563,0.8679462690722365,1.2068772767925309,1.0122506938566918,1.1083428899327892,1.0613526196369636,1.0497233870589546,0.09234349954651049,0.7745563169917409,1.3590305945979937,0.9613398129494297,1.084964539625287,1.0639818630571471,1.0394644942786397,0.13710769682664747
Grade1Fall,1603,57,trucks,.,0,273,15.0,52.5,45.0,54.6,68.37480739069242,258.8648148148148,271.51666666666665,0.7636976500143097,1.4781507734831256,0.9963487856417903,1.1327487150675741,1.0793417142857156,1.0729950033028617,0.16357958007985354,0.739392759828727,1.2067011840597546,0.9562188210187971,1.0619075770748636,1.0124280012428002,0.9893854409769874,0.11820773513871471
Grade1Fall,1603,79,bikes,.,0,291,37.5,69.0,45.0,67.2,71.90887090120185,262.2416666666667,247.34444444444443,0.7524708100547869,1.347920180770822,1.0463855286911987,1.1971953671929665,1.0815385729565918,1.0975562507993333,0.1528234551416741,0.3534490645441655,1.3972884620997639,0.9715439747189488,1.0514578045246048,1.0348135126872515,0.9889982645409915,0.22286867239907562
Grade1Fall,1603,103,barking,.,0,165,0.0,67.5,33.0,43.4,46.46012114860289,232.0,251.44000000000003,0.8278160408798044,1.1638557211120273,0.9124349331281385,1.017912048493937,0.9790421558164352,0.973575713232924,0.08104626999343245,0.8347522926508855,1.5135276030253764,1.007148096446481,1.0988568260505565,1.0475985449406875,1.0852603501728015,0.16072197313499106
Grade1Fall,1603,127,singing,.,0,153,13.5,39.0,33.0,40.2,41.7974708735896,250.0973333333331,270.56190476190466,0.0,1.1139049118192264,0.7997714446327845,1.009637918116681,0.9652161452113689,0.8577256599156955,0.2848803974927408,0.6838075343380163,1.0885613345499638,0.9026369738887932,1.0669942802657728,0.9990298377120683,0.9637061763221493,0.12221264010004917
Grade1Fall,1903,13,yard,.,0,93,16.5,40.5,27.0,32.0,25.823577266853306,287.01428571428573,307.05333333333334,0.8640350877192979,1.1885163104834713,0.960513602319569,1.0355361684827522,1.0160741567351417,1.003362392688596,0.08167038972440738,0.8508794066949817,1.232984205594967,0.9207311679119669,1.0760942525047947,1.007354756858492,1.004285234834282,0.11319856015395362
Grade1Fall,1903,25,eat,.,9,126,24.0,61.5,45.0,46.6,30.380444838274318,287.90980392156865,287.62222222222226,0.7960734323884716,1.4053174603174596,1.0161388102672952,1.2260186064715088,1.0802815558196517,1.105377636750179,0.15980619679997077,0.8799335863377611,1.160883202230409,0.9354641266927497,1.0396324406487791,1.011406910071911,0.9959993327829425,0.07753894263657045
Grade1Fall,1903,31,ground,",",0,285,0.0,0.0,0.0,20.4,73.39891007365165,287.62222222222226,267.79090909090905,0.8799335863377611,1.160883202230409,0.9354641266927497,1.0396324406487791,1.011406910071911,0.9959993327829425,0.07753894263657045,0.7844447538168823,1.1578067155939473,0.9206875072283863,1.077413046087715,1.0067918497802637,0.9916856508990118,0.12078997998196954
Grade1Fall,1903,43,bright,.,0,111,24.0,46.5,33.0,41.8,33.26130312712185,268.1363636363636,290.5555555555555,0.700124160208757,1.727870317186803,0.9663640823307003,1.122990445842003,1.055625785445521,1.0806282054814953,0.23690474044788154,0.9195874725108061,1.2293055303196936,1.0152903810911331,1.1110903219024297,1.0770418186921134,1.0696304666087064,0.07795419875735066
Grade1Fall,1903,53,round,.,0,78,0.0,51.0,12.0,26.2,31.103973104044808,264.6494949494948,304.66666666666674,0.0,1.4835432379928284,1.0007863061514977,1.1462175266555246,1.0641486587183302,1.0347781402177414,0.335952123817137,0.6428554809468634,1.134912570175262,0.7642877967005004,0.9057670929982538,0.8194928964094859,0.8410452461661488,0.1277139272506524
Grade1Fall,1903,65,it,.,3,165,13.5,55.5,33.0,46.8,50.31216836625396,277.20416666666665,267.95897435897433,0.8096380342128634,1.4569121505473632,1.0143189216421487,1.1630786516074378,1.0849532100618116,1.099599042006559,0.1526971882186963,0.8221065848309744,1.2286880466472307,1.0085275637888311,1.0861751925891068,1.0422872290601173,1.043914945629586,0.10976952424650159
Grade1Fall,1903,79,it,.,0,114,16.5,46.5,30.0,35.4,29.485589700733474,250.4901960784313,273.21874999999994,0.7465913537266861,1.4431574060588404,0.9310928562846416,1.0546428057335988,1.0038354037267079,1.0097737610864153,0.14966272164141364,0.7915594745600794,1.1395868188274445,0.9198169498376125,1.056701329804549,1.0163742840926677,0.9887057347444603,0.10341052893913767
Grade1Fall,1903,87,it,.,0,144,15.0,60.0,30.0,41.0,38.862394603082734,273.21874999999994,286.752380952381,0.842542614953722,1.3486626806679063,0.9812678359249217,1.1927026964220826,1.1074234774035259,1.0976137370285544,0.16457189427908944,0.7665704863973618,1.671063104864151,0.8749676333644796,1.051784226825531,0.9624086788328341,1.0276377827766747,0.24092396600744562
Grade1Fall,1903,93,corn,.,0,87,0.0,43.5,12.0,26.6,30.464968171890245,286.752380952381,278.1,0.7665704863973618,1.671063104864151,0.8749676333644796,1.051784226825531,0.9624086788328341,1.0276377827766747,0.24092396600744562,0.661365839075361,1.4386288326033143,0.9812861597580489,1.0998269768191915,1.0449747155499367,1.0357602972775632,0.16877922214504218
Grade1Fall,1903,107,gold,!,9,225,37.5,90.0,54.0,70.2,54.05711265477864,286.07999999999987,279.86904761904765,0.8445512052964522,1.290000050839444,1.0593251827174137,1.1189782610886574,1.0754387980443967,1.0728189762694724,0.11218472330317127,0.751126194035117,1.2431090605709705,0.8370206696893124,1.047232780562348,0.9487423471866799,0.9581975695752355,0.16456695466629923
Grade1Fall,1903,117,corn,",",0,87,4.5,34.5,27.0,24.6,23.35380054723428,247.45000000000005,225.14848484848483,0.6314741813356233,1.2367113593683519,1.006136066840958,1.07869469608587,1.0403908685968821,1.0252543822070896,0.14013415669064366,0.9847629195524774,1.3742149377787114,1.0313626313469735,1.0813082925654571,1.0635772501524385,1.0768254995163669,0.0953000803097939
Grade1Fall,1903,123,rooster,",",0,81,4.5,31.5,21.0,24.0,23.94636864805542,225.14848484848483,277.1952380952381,0.9847629195524774,1.3742149377787114,1.0313626313469735,1.0813082925654571,1.0635772501524385,1.0768254995163669,0.0953000803097939,0.0,1.2330942548721289,0.9626095820564362,1.0680144559632523,1.0279980945575804,0.9620200919711492,0.288884909890263
Grade1Fall,1903,133,it,.,0,126,7.5,54.0,24.0,39.0,39.92850753892154,271.79166666666674,283.7185185185187,0.6470369060252329,1.5923859911438265,0.9200324731818397,1.027290094093006,0.9710071204961149,0.9939832351322391,0.20523792489459314,0.593863947936528,1.4971095243785844,0.9528724071263184,1.15066658130015,1.0453318046734754,1.0371632655649377,0.21290822616168842
Grade1Spring,1505,7,trucks,.,0,48,6.0,38.25,30.0,23.571428571428573,17.99450465564967,284.8430706521739,311.1555555555555,0.8351300358847242,1.231468348208205,1.0156817883174662,1.1225780658941265,1.0837868797893369,1.060835061038714,0.1066818587338374,0.5161135609704106,1.2760012313817513,0.9913398697162616,1.1486411387138888,1.086856433903701,1.0415955136845938,0.18651790481743913
Grade1Spring,1505,23,truck,.,0,57,18.0,38.25,30.0,27.857142857142858,15.936687923719344,277.044358974359,330.5074074074074,0.720893304030793,1.3887130133806087,0.9016526835229728,1.0810269050477292,0.9714412443026854,0.9946179093775857,0.16769023098121405,0.5331315224752563,1.3112846765545014,0.9435657614933823,1.1237044834818726,1.0481035479195322,1.0008962587333718,0.21194380143531422
Grade1Spring,1505,33,truck,",",0,96,2.25,48.75,27.0,30.214285714285715,29.47535756011627,271.27500000000003,283.5477095516569,0.7965820194969309,1.1987985201431643,0.8994960482470633,1.0903325277753888,0.9863721142990434,0.9953030675120801,0.12883144229147317,0.8170353128326294,0.9485874966033924,0.8506324846755849,0.9209334678993218,0.8791875596129408,0.8818041575902994,0.0452642069186138
Grade1Spring,1505,39,barks,.,0,69,24.0,39.0,31.5,33.42857142857143,17.994504655649674,283.5477095516569,307.4908088235294,0.8170353128326294,0.9485874966033924,0.8506324846755849,0.9209334678993218,0.8791875596129408,0.8818041575902994,0.0452642069186138,0.4769807633319473,1.147005917702121,0.8223114674379896,0.9862566134642546,0.8941746548151894,0.8886211200662046,0.15623355234435296
Grade1Spring,1505,51,truck,",",0,87,0.0,28.5,15.0,20.142857142857142,25.00109887694829,283.6702380952381,292.66758620689654,0.7743590271310454,1.139513194292914,0.8380142474528558,0.9610570886948475,0.9063878246359014,0.9176981937709544,0.1141403385569803,0.8335749067421896,1.4982932151868122,0.9482872604186743,1.1425502717618337,1.1099958525167688,1.0856928327008921,0.18188072199681699
Grade1Spring,1505,55,barks,.,15,66,24.75,36.0,31.5,33.214285714285715,12.807321051940274,271.2951388888889,327.6412037037037,0.7111579532276769,1.1314782166738129,0.77420608651092,0.9153573271851235,0.8253634588307004,0.8567743962627261,0.12025901684597888,0.6402860151499715,1.082467037259662,0.7843737854324144,0.9366189824184032,0.8563773506463743,0.8633862002696443,0.13134508795923244
Grade1Spring,1505,67,much,?,0,75,9.75,48.75,25.5,31.285714285714285,27.10784323466485,299.21399572649574,314.8966666666667,0.7018914453404356,2.303396373943215,1.0644168829390008,1.2941612650031151,1.1772863249220564,1.2363121448045373,0.35853383333778227,0.7957903819781507,1.136587485515643,0.8506998444790047,0.9994924971222827,0.9198506230295753,0.9356983028986355,0.11133646881656041
Grade1Spring,1505,73,barks,",",0,87,0.0,27.0,0.0,15.857142857142858,24.355877960130925,314.8966666666667,289.20296474358986,0.7957903819781507,1.136587485515643,0.8506998444790047,0.9994924971222827,0.9198506230295753,0.9356983028986355,0.11133646881656041,0.8086012632113498,1.2636372119063168,0.8866299781582789,1.037157597085212,0.955295393960311,0.9764476634971823,0.12328414481565175
Grade1Spring,1505,81,away,.,0,84,10.5,36.0,24.0,25.714285714285715,22.317390843598496,283.34358974358975,299.71384615384625,0.8359490950606089,1.2315832163648508,1.0422539053215871,1.1393671134108585,1.0576656780679135,1.0714728965712335,0.1059963755458767,0.8408362299987917,1.4272472870738762,0.9374614657404743,1.1329882169083365,0.9962133228163738,1.0467034560573263,0.167064759710889
