form,item,perfmat_idx,token,punct,pause_min,pause_max,pause_1q,pause_3q,pause_med,pause_mean,pause_sstd,f0ratio_before_min,f0ratio_before_max,f0ratio_before_1q,f0ratio_before_3q,f0ratio_before_med,f0ratio_before_mean,f0ratio_before_sstd,f0ratio_after_min,f0ratio_after_max,f0ratio_after_1q,f0ratio_after_3q,f0ratio_after_med,f0ratio_after_mean,f0ratio_after_sstd
Grade1Fall,1603,57,trucks,.,15,72,45.0,66.0,51.0,51.333333333333336,17.585505395068974,-6.655849499918649,7.5755796217247084,0.40807381795113523,1.0770137079462074,0.4660805675356607,0.598973078955805,3.57240951981103,0.09958626057277113,2.4597591612042677,0.6597424384862981,0.8447439030400188,0.7887005987668143,0.9198940448230221,0.6631206835451696
Grade1Fall,1603,79,bikes,.,30,105,60.0,81.0,63.0,67.0,23.430749027719962,-11.980266812191006,13.417015833273622,-0.8321471149126326,1.3655135057033791,1.309938004268039,0.058993150045538005,6.787336273238306,-5.035280805192663,1.446721034462692,-0.032932246255730165,0.9588842988308041,0.790903815263404,0.01696255396386533,1.9663053308428478
Grade1Fall,1603,103,barking,.,39,96,57.0,75.0,57.0,64.33333333333333,19.792675412889487,-0.9586394709448388,11.897520839849284,0.3403799210533458,1.2593642310431161,1.1353748247177065,1.8897146481428377,3.8347772496948087,0.4158588683232121,11.82088174131231,0.7413321852666473,1.1810589983021997,0.8848846827513629,2.0759348999036193,3.6627314646987896
Grade1Fall,1603,127,singing,.,24,87,48.0,69.0,57.0,56.333333333333336,19.078784028338912,0.17171541502467122,3.780768300871113,0.45041538777934004,1.3470254243531463,0.931574079906899,1.2552897514119083,1.2044694941178802,-65.15812753956192,2.433920391498902,0.36132655074078485,1.0480927384765517,0.7196896067674379,-6.426651260216256,22.038092678134277
Grade1Fall,1903,13,yard,.,18,42,21.0,33.0,24.0,27.666666666666668,9.578622030334008,-0.39328423852287764,3.512623917044358,0.3424583110114722,0.9378529533216939,0.6008949095845572,0.8289090357776554,1.0850852804576043,-1.560214668754331,136.3920600564928,-1.1022016237809975,5.913026724751721,1.427674186284224,17.175857188835277,44.879884820642694
Grade1Fall,1903,25,eat,.,30,81,57.0,78.0,63.0,63.666666666666664,16.484841521834536,-7.661257673992122,0.9167709809598781,-1.805168749590107,0.04818702906467151,-0.40883266094332354,-1.1926186242833678,2.6245710562925963,0.03860411514361734,1.9627683135368923,0.3412931745921926,1.0392216681384856,0.5255566862554034,0.7453662761378076,0.59691117036371
Grade1Fall,1903,31,ground,",",0,33,0.0,6.0,3.0,6.333333333333333,10.758717395675008,0.03860411514361734,1.9627683135368923,0.3412931745921926,1.0392216681384856,0.5255566862554034,0.7453662761378076,0.59691117036371,-15.764775805018301,6.611181206986091,-0.453766796482082,1.1003778335519736,0.6148128918675763,-0.5980689681422109,6.1644959231327014
Grade1Fall,1903,43,bright,.,18,84,42.0,57.0,51.0,51.333333333333336,18.275666882497067,-11.19734882216679,2.6325857807822577,-0.26573111030990115,0.9955793555193617,0.533155127386605,-0.47607864497242214,4.166906622356608,-0.19523723467890863,4.565749324025484,0.38999304127500983,0.801014105235466,0.552370994295468,0.9370927124472694,1.3991391808057019
Grade1Fall,1903,53,round,.,15,78,33.0,51.0,42.0,43.0,19.03286631067428,-4.253805771767391,5.023787756215268,-1.375644331619413,3.190497155100248,0.2522723891986192,0.5750908084923657,3.1921289034772435,-0.23529867417350064,3.977467219449131,-0.10321741341222454,1.6842375912817422,0.4458355604857606,0.9234625157003047,1.4455542506249095
Grade1Fall,1903,65,it,.,21,66,30.0,45.0,36.0,38.666666666666664,13.028814220795383,-9.273807798536728,1.1920285944856386,-0.44729870543750144,0.07450582471855505,-0.07086558086420636,-1.0338359721819925,3.1394006658393976,-2.40789538989084,0.9908963062657167,-0.4503113948811836,0.6449362123776452,0.09724606604025388,-0.12993889091866795,1.0376558113843306
Grade1Fall,1903,79,it,.,18,84,45.0,72.0,54.0,55.333333333333336,21.059439688652688,-0.09655710153833078,3.4619692061756138,1.1652737248590823,2.81014315402342,1.348413893939203,1.7539437476813953,1.171991717819339,0.1553516573327108,89.30949350859716,0.1783002709045848,0.9764384796325343,0.3895025765599499,10.41165732018688,29.5912428862831
Grade1Fall,1903,87,it,.,6,63,21.0,42.0,27.0,29.333333333333332,18.172781845386247,-8.947912166553783,2.4637646299578453,-0.5207615537855599,0.5075145772458727,0.0069938635481745295,-0.814689437770059,3.2282550581818774,-96.65934049079806,10.232121786999565,-2.538185551850485,0.3932900202348588,-0.43656568722002975,-10.979697296187133,32.509997284790614
Grade1Fall,1903,93,corn,.,6,57,15.0,39.0,30.0,30.333333333333332,18.520259177452136,-96.65934049079806,10.232121786999565,-2.538185551850485,0.3932900202348588,-0.43656568722002975,-10.979697296187133,32.509997284790614,-25.904017073771136,7.96189370076579,0.10800665378228272,1.908194823437843,0.3761993413986699,-1.2815532139722452,9.59092675889341
Grade1Fall,1903,107,gold,!,42,111,51.0,78.0,57.0,66.33333333333333,23.73815494093844,0.07041399218302798,2.3453953349890515,0.23881749449967984,1.1144175649055963,0.6555041478062131,0.833245697273814,0.8055320487895111,-0.4589972921911656,14.691658449483096,-0.09055674369911626,1.5922855686789588,0.034281156984603184,2.0485690872394424,4.836235152672656
Grade1Fall,1903,117,corn,",",0,33,0.0,6.0,0.0,5.666666666666667,11.067971810589327,-11.098382773570107,1.0610299041895164,-0.810264498914256,0.6650888691374236,-0.023467219831223393,-1.4941635774371627,3.941413182224885,0.02203341818484267,5.261890084878472,0.6528814977506752,0.7953040226447847,0.7190880244976349,1.1393579042978494,1.564860713077577
Grade1Fall,1903,123,rooster,",",3,33,12.0,33.0,12.0,17.333333333333332,12.165525060596439,0.02203341818484267,5.261890084878472,0.6528814977506752,0.7953040226447847,0.7190880244976349,1.1393579042978494,1.564860713077577,-0.26465438003800706,3.316999171047565,0.39112833496216287,1.0652706757805428,0.6033109970998889,0.9626374408371849,1.0898056723121865
Grade1Fall,1903,133,it,.,6,87,45.0,60.0,54.0,52.333333333333336,23.911294402436685,-5.468268125222858,3.2786956272989074,0.09087555149213122,1.0326966418862895,0.6553680891192486,0.11121318109979311,2.4410166930953254,-1.9458992010163572,8.998336352480084,-0.712777488982461,0.4210871961693346,0.13493581615612035,1.317659763788756,3.8120456218685854
Grade1Spring,1505,7,trucks,.,18,69,33.0,45.0,42.0,41.0,17.168284713389397,-1.4085970056756614,34.822456123501205,0.24510802842652565,0.9000423067008646,0.5041803093705957,4.124663030032373,11.534186644654056,-38.84153251915065,3.890757564772265,-5.525543170550033,-0.09944624089019209,-1.3234297319443358,-5.97409891580039,12.884423056259488
Grade1Spring,1505,23,truck,.,24,78,27.0,51.0,42.0,44.0,20.291623887703025,-2.2474009638136208,2.0545565123640634,-0.18054641756837203,0.3482614343147633,0.04457798061900367,0.07859304883991419,1.369768068612256,-19.026853141391996,10.825084095521069,-1.7715892345012205,1.5051045879454015,0.5492145484831396,-0.531287694195168,8.039960122480085
Grade1Spring,1505,33,truck,",",0,69,12.0,30.0,21.0,27.333333333333332,23.9269722280108,-0.9519131466804627,1.499581843317217,0.19296949091823318,0.6400900155627224,0.47387869188749243,0.40659309584010267,0.6405636599669436,-1.29369803357896,1.3150414127999466,0.2126535388191176,0.773843598725547,0.5693938464442528,0.38298084805902677,0.7706408757967432
Grade1Spring,1505,39,barks,.,18,57,36.0,48.0,42.0,39.666666666666664,13.97318861248212,-1.29369803357896,1.3150414127999466,0.2126535388191176,0.773843598725547,0.5693938464442528,0.38298084805902677,0.7706408757967432,-81.69598836810418,2.3348729576528227,-1.8272894704362075,1.7598932121352373,-0.07341229887359708,-8.747714245997601,27.40443959767136
Grade1Spring,1505,51,truck,",",0,39,3.0,21.0,6.0,12.333333333333334,14.265342617687104,-4.821862126090376,2.0629590408104574,-2.4839065396339195,1.3472197246781474,-0.7887473949637681,-0.9031741780176534,2.3574982559066373,-4.121715468501479,0.6782832559652884,-1.139063944200371,0.38419162385559424,0.19765074062542404,-0.6265092932750739,1.6300014844156472
Grade1Spring,1505,55,barks,.,33,96,39.0,60.0,42.0,50.666666666666664,20.26079958935481,-1.6849189240409117,178.4458021862958,-0.41989989241976267,1.4314108290978875,0.47555317052823537,19.986557329467594,59.43276990145756,-4.10800921670953,48.19416558856275,-0.05880033138122227,2.2571349662988474,0.26202422527685815,9.098490992733723,18.724187167355876
Grade1Spring,1505,67,much,?,21,129,33.0,60.0,51.0,54.333333333333336,32.56915718897251,-2.0164770089268074,3.05475397090285,-0.30426456666420815,0.9595108725949651,0.1445740019947145,0.2721459533453096,1.489993913451694,-0.8374472204883425,2.5241739771639673,0.9337921231060137,1.1218287858580127,1.0679995306273913,0.9378711549456988,0.925805910289535
Grade1Spring,1505,73,barks,",",0,27,0.0,9.0,0.0,6.333333333333333,9.420721840708387,-0.8374472204883425,2.5241739771639673,0.9337921231060137,1.1218287858580127,1.0679995306273913,0.9378711549456988,0.925805910289535,-1.0271295581981883,9.19984738025558,-0.35134737971336844,0.6319980395489413,-0.2851952716530197,0.9185371801239484,3.1688007922203543
Grade1Spring,1505,81,away,.,6,84,27.0,45.0,39.0,38.666666666666664,21.914607000811127,-9.480250492977293,5.4540528652711595,-0.33323271506080765,1.1394992640329304,0.9302674793931773,-0.07786278101779237,4.040816860931932,0.7302905184867842,2.8715888299397574,0.8922328918958836,1.483135137989592,1.0686571260250797,1.2976714067830217,0.6542940852032046
Grade1Spring,1505,83,woof,!,0,27,0.0,0.0,0.0,4.333333333333333,9.38083151964686,-59.35911839411404,2.374783079260934,-0.4125408340168311,1.2128854772971884,0.48869127086790043,-6.017626871368292,20.030155939660723,-117.29107998278954,1.982824064026593,-0.8204703623291623,0.9527342428114378,0.4882354056717614,-12.754794352405693,39.21907022613226
Grade1Spring,1505,85,woof,!,0,33,0.0,0.0,0.0,4.666666666666667,11.034038245356955,-1.5816202393479286,2.265530305285935,-0.6319420926826119,-0.04351812673397742,-0.38397181953699416,-0.2223336025078154,1.0512897758065323,-5.552003819355378,10.792247627184087,0.05030572197861713,1.77548006657831,0.8093486793145455,1.484929512001966,4.314375228527498
Grade1Spring,1505,87,woof,!,0,105,27.0,60.0,33.0,41.666666666666664,32.981055168080964,0.7302905184867842,2.8715888299397574,0.8922328918958836,1.483135137989592,1.0686571260250797,1.2976714067830217,0.6542940852032046,-0.27522446202214684,4.867229920693268,0.09846841049659566,1.2081672006016815,0.6446452030341262,0.9938957638199098,1.5513682166383311
Grade1Spring,1505,91,works,!,0,69,0.0,39.0,12.0,23.666666666666668,25.387004549572207,-5.552003819355378,10.792247627184087,0.05030572197861713,1.77548006657831,0.8093486793145455,1.484929512001966,4.314375228527498,-2.1397381751199624,2.190758307606438,-0.6641410129160111,0.19305216188079286,-0.4232779523896906,-0.2755451803946283,1.279605341596212
Grade1Spring,1505,99,away,.,15,90,33.0,60.0,39.0,47.0,22.94558781116753,-2.7282555032345708,50.11117453445,-0.34136000341305556,1.8002165146813491,0.5763019016711731,5.959066912877309,16.63684186041387,-12.158082606671183,5.6729096699299735,-4.412623173610675,-1.1135109123023947,-2.001910165940973,-2.955037910511132,4.870921266144497
Grade1Spring,1505,103,job,",",0,12,0.0,0.0,0.0,1.3333333333333333,4.0,-1.210979872575643,0.6380328565404672,-0.5121117302713479,0.5283906518438151,-0.08804005001554374,-0.1597204411005165,0.702798235452312,-4.933381182443253,128.56606921185173,-0.08017489753962999,1.8556487640660613,1.288806375812567,14.449298095349256,42.84863546947824
Grade1Spring,1505,105,rocky,!,3,84,12.0,51.0,27.0,32.333333333333336,27.156951228000537,-12.158082606671183,5.6729096699299735,-4.412623173610675,-1.1135109123023947,-2.001910165940973,-2.955037910511132,4.870921266144497,-0.5506203900116259,5.746374246451236,0.27858749234261304,1.5465315188894935,0.816237485244639,1.5049018879650735,2.0854075632756333
Grade1Spring,1804,7,clay,.,15,84,27.0,48.0,42.0,43.0,21.891779278989635,-2.1365310814846605,51.19140697503121,0.575890611493627,1.0913448650061555,0.9761814046499495,6.396642197867253,16.858636956738284,-2.117757323378119,9.664524875185066,-0.662352638911818,0.6448183724279098,-0.022531612159053024,0.6567908182169888,3.5187181960302842
Grade1Spring,1804,17,classroom,.,3,90,18.0,30.0,24.0,31.666666666666668,27.37699764400764,0.10305987777926363,2.984946001367027,0.3399453551372058,1.4799514324181835,0.7170272401009301,1.1323072594624297,1.0790033751086536,-1.6825280552925095,63.20112718957617,0.2127360092888467,20.35367797589306,3.509899438537938,12.92424459493104,21.374564873200498
Grade1Spring,1804,33,share,.,42,108,45.0,69.0,57.0,62.333333333333336,20.5,-0.6555197930240411,3.389026302358934,0.6404568332021976,1.3310614723130652,0.8673763818869674,1.0130213530528889,1.1417431556434061,-0.9954858995714383,16.281252597104857,0.0025297965176901463,0.8031115723943308,0.4778575145487117,2.048059430408747,5.37932976865912
Grade1Spring,1804,55,again,.,36,117,48.0,66.0,54.0,61.0,24.046829312822098,-0.10707431687772402,1.751653560304408,0.21194322794230996,0.6356154247956235,0.39076202630703977,0.49260190977078483,0.5678843800199308,-1.3046397732778594,1.9699130271556973,0.13078553011098287,1.0167931493070153,0.9635978463852131,0.511778468487636,1.0863527717689045
