Session,catB,catC,catE,catF,catG,catH,catJ,catK,catL,catM,catN,catO,catP,catQ,gyorB,gyorC,gyorE,gyorF,gyorG,gyorH,gyorJ,gyorK,gyorL,gyorM,gyorN,gyorO,gyorP,gyorQ
38858,1.0,1.0,1.0,0.8857142857142858,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.135,1.0,0.2510785159620362,3,3,3,3,3,3,3,3,3,3,3,3,3,2.0
38957,1.0,1.0,1.0,0.8857142857142858,0.8,1.0,1.0,1.0,0.8,1.0,0.3333333333333333,2.018333333333333,0.5,1.1884253028263796,3,3,3,3,2,3,3,3,2,3,0,2,1,0.0
40181,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,3.7005,1.0,0.2677925211097708,3,3,3,3,3,3,3,3,3,3,3,3,3,2.0
42699,1.0,1.0,1.0,0.8714285714285713,0.5,1.0,1.0,1.0,0.8,1.0,0.75,3.7325,1.0,0.19844357976653693,3,3,3,3,1,3,3,3,2,3,3,3,3,3.0
43543,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,4.0,1.0,0.16625615763546794,3,3,3,3,3,3,3,3,2,3,3,3,3,3.0
44131,0.9,0.95,1.0,0.9428571428571428,0.8,0.8,0.0,0.8,0.0,0.5,0.3333333333333333,2.853166666666666,1.0,0.38787878787878777,3,3,3,3,2,2,0,2,0,1,0,3,3,2.0
46223,1.0,1.0,1.0,0.7999999999999999,0.8,1.0,0.75,1.0,0.8,0.8,0.3333333333333333,1.3435,1.0,0.21845318860244234,3,3,3,2,2,3,2,3,2,2,0,1,3,3.0
46757,1.0,1.0,1.0,0.8571428571428571,0.8,0.8,1.0,1.0,1.0,1.0,0.6666666666666666,3.116,1.0,0.273972602739726,3,3,3,3,2,2,3,3,3,3,3,3,3,2.0
47650,1.0,1.0,1.0,0.8571428571428571,0.8,1.0,0.9,0.8,0.8,1.0,0.8333333333333334,3.1361666666666665,1.0,0.3636363636363637,3,3,3,3,2,3,3,2,2,3,3,3,3,2.0
49623,1.0,1.0,1.0,0.9428571428571428,0.5,1.0,1.0,1.0,1.0,1.0,1.0,3.4446666666666665,1.0,0.0658436213991769,3,3,3,3,1,3,3,3,3,3,3,3,3,3.0
50805,1.0,0.95,1.0,0.7999999999999999,0.8,1.0,1.0,1.0,0.8,0.8,0.8333333333333334,2.846166666666667,1.0,0.1873417721518987,3,3,3,2,2,3,3,3,2,2,3,3,3,3.0
52112,1.0,1.0,1.0,0.8571428571428571,1.0,1.0,0.9,0.8,0.8,0.5,0.5,1.7481666666666669,1.0,0.3373702422145329,3,3,3,3,3,3,3,2,2,1,1,1,3,2.0
52677,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.5,0.8,0.6666666666666666,3.1041666666666665,1.0,0.191919191919192,3,3,3,3,3,3,3,2,1,2,3,3,3,3.0
52872,1.0,0.95,1.0,0.8571428571428571,0.8,1.0,0.9,0.8,1.0,1.0,1.0,3.398,1.0,0.4267241379310346,3,3,3,3,2,3,3,2,3,3,3,3,3,2.0
53345,1.0,1.0,1.0,0.9428571428571428,0.8,1.0,0.9,1.0,1.0,1.0,1.0,3.4545,1.0,0.4144927536231883,3,3,3,3,2,3,3,3,3,3,3,3,3,2.0
53945,1.0,0.95,1.0,1.0,0.8,1.0,1.0,1.0,0.8,1.0,1.0,3.157666666666667,1.0,0.1664025356576863,3,3,3,3,2,3,3,3,2,3,3,3,3,3.0
24567,1.0,1.0,1.0,1.0,0.8,1.0,0.75,1.0,0.8,0.8,0.75,2.89,1.0,0.31744186046511624,3,3,3,3,2,3,2,3,2,2,3,3,3,2.0
