Response,WCPM,Acc,Comp,Exp,level,WCPM_response,Comp_response,Exp_response,undetermined,1_or_2,2_unanimous,2_or_3,3_unanimous,best_pitch_slope_score_lower_constituents_with_pauses,best_pitch_slope_score_lower_constituents_no_pauses,best_pitch_slope_score_middle_constituents_with_pauses,best_pitch_slope_score_middle_constituents_no_pauses,best_pitch_slope_score_higher_constituents_with_pauses,best_pitch_slope_score_higher_constituents_no_pauses,best_duration_score_lower_constituents_with_pauses,best_duration_score_lower_constituents_no_pauses,best_duration_score_middle_constituents_with_pauses,best_duration_score_middle_constituents_no_pauses,best_duration_score_higher_constituents_with_pauses,best_duration_score_higher_constituents_no_pauses
557537,76.0,1.0,6.0,2.9,10,68.9,6.3,2.5,0,0,0,0,1,0.5754929175553074,0.0,0.5759082914978553,0.5755980945781487,0.5770656506895442,0.6022303491218369,0.6669486296155606,0.0,0.6871967343783004,0.5325634175732985,0.6273432705115771,0.6310566319878558
557537,76.0,1.0,6.0,2.9,10,68.9,6.3,2.5,0,0,0,0,1,0.5754929175553074,0.0,0.5759082914978553,0.5755980945781487,0.5770656506895442,0.6022303491218369,0.6669486296155606,0.0,0.6871967343783004,0.5325634175732985,0.6273432705115771,0.6310566319878558
557537,76.0,1.0,6.0,2.9,10,68.9,6.3,2.5,0,0,0,0,1,0.5754929175553074,0.0,0.5759082914978553,0.5755980945781487,0.5770656506895442,0.6022303491218369,0.6669486296155606,0.0,0.6871967343783004,0.5325634175732985,0.6273432705115771,0.6310566319878558
557537,76.0,1.0,6.0,2.9,10,68.9,6.3,2.5,0,0,0,0,1,0.5754929175553074,0.0,0.5759082914978553,0.5755980945781487,0.5770656506895442,0.6022303491218369,0.6669486296155606,0.0,0.6871967343783004,0.5325634175732985,0.6273432705115771,0.6310566319878558
557541,76.0,1.0,6.0,2.9,10,87.4,5.4,3.0,0,0,0,0,1,0.0,0.0,0.5304793142858513,0.6687925670234346,0.5173877065575073,0.5671093026820264,0.47209556735425856,0.28720687621374974,0.4116800139354184,0.6526851551789083,0.46103654150345363,0.4109205255817518
557541,76.0,1.0,6.0,2.9,10,87.4,5.4,3.0,0,0,0,0,1,0.0,0.0,0.5304793142858513,0.6687925670234346,0.5173877065575073,0.5671093026820264,0.47209556735425856,0.28720687621374974,0.4116800139354184,0.6526851551789083,0.46103654150345363,0.4109205255817518
557541,76.0,1.0,6.0,2.9,10,87.4,5.4,3.0,0,0,0,0,1,0.0,0.0,0.5304793142858513,0.6687925670234346,0.5173877065575073,0.5671093026820264,0.47209556735425856,0.28720687621374974,0.4116800139354184,0.6526851551789083,0.46103654150345363,0.4109205255817518
560124,71.0,0.905,4.0,2.5,9,69.4,3.2,2.5,0,0,0,1,0,0.368998229208974,0.0,0.41298755462763864,0.0,0.40630140989133684,0.0,0.2500388718271744,0.0,0.2320764691715419,0.0,0.27601556178095205,0.0
560124,71.0,0.905,4.0,2.5,9,69.4,3.2,2.5,0,0,0,1,0,0.368998229208974,0.0,0.41298755462763864,0.0,0.40630140989133684,0.0,0.2500388718271744,0.0,0.2320764691715419,0.0,0.27601556178095205,0.0
560124,71.0,0.905,4.0,2.5,9,69.4,3.2,2.5,0,0,0,1,0,0.368998229208974,0.0,0.41298755462763864,0.0,0.40630140989133684,0.0,0.2500388718271744,0.0,0.2320764691715419,0.0,0.27601556178095205,0.0
560124,71.0,0.905,4.0,2.5,9,69.4,3.2,2.5,0,0,0,1,0,0.368998229208974,0.0,0.41298755462763864,0.0,0.40630140989133684,0.0,0.2500388718271744,0.0,0.2320764691715419,0.0,0.27601556178095205,0.0
560128,71.0,0.905,4.0,2.5,9,64.3,4.6,2.1,0,0,0,0,1,0.39504755633719624,0.0,0.3792181571803811,0.34294373979503523,0.3777452119218141,0.492058026685416,0.5588466116063294,0.535315474647425,0.5581088397872827,0.6170434629124748,0.5492115217956203,0.6571820209960042
560128,71.0,0.905,4.0,2.5,9,64.3,4.6,2.1,0,0,0,0,1,0.39504755633719624,0.0,0.3792181571803811,0.34294373979503523,0.3777452119218141,0.492058026685416,0.5588466116063294,0.535315474647425,0.5581088397872827,0.6170434629124748,0.5492115217956203,0.6571820209960042
560128,71.0,0.905,4.0,2.5,9,64.3,4.6,2.1,0,0,0,0,1,0.39504755633719624,0.0,0.3792181571803811,0.34294373979503523,0.3777452119218141,0.492058026685416,0.5588466116063294,0.535315474647425,0.5581088397872827,0.6170434629124748,0.5492115217956203,0.6571820209960042
560132,71.0,0.905,4.0,2.5,9,116.4,4.4,3.1,0,0,0,0,1,0.0,0.0,0.46970120480959704,0.0,0.4113844461479809,0.28505670242651954,0.7162941931646096,0.0,0.7185399172442243,0.7629816602715556,0.7141055469314636,0.6103059660969479
560132,71.0,0.905,4.0,2.5,9,116.4,4.4,3.1,0,0,0,0,1,0.0,0.0,0.46970120480959704,0.0,0.4113844461479809,0.28505670242651954,0.7162941931646096,0.0,0.7185399172442243,0.7629816602715556,0.7141055469314636,0.6103059660969479
560330,83.0,0.967,5.4,2.4,11,75.8,5.0,2.2,0,0,0,1,0,0.3621933734690752,0.0,0.3520113927126269,0.6195348850221125,0.3590907700769465,0.4352723530983455,0.4000192648008134,0.0,0.3980499585776921,0.3176953671134993,0.40847974057034175,0.37682933140439423
560330,83.0,0.967,5.4,2.4,11,75.8,5.0,2.2,0,0,0,1,0,0.3621933734690752,0.0,0.3520113927126269,0.6195348850221125,0.3590907700769465,0.4352723530983455,0.4000192648008134,0.0,0.3980499585776921,0.3176953671134993,0.40847974057034175,0.37682933140439423
560330,83.0,0.967,5.4,2.4,11,75.8,5.0,2.2,0,0,0,1,0,0.3621933734690752,0.0,0.3520113927126269,0.6195348850221125,0.3590907700769465,0.4352723530983455,0.4000192648008134,0.0,0.3980499585776921,0.3176953671134993,0.40847974057034175,0.37682933140439423
560330,83.0,0.967,5.4,2.4,11,75.8,5.0,2.2,0,0,0,1,0,0.3621933734690752,0.0,0.3520113927126269,0.6195348850221125,0.3590907700769465,0.4352723530983455,0.4000192648008134,0.0,0.3980499585776921,0.3176953671134993,0.40847974057034175,0.37682933140439423
560330,83.0,0.967,5.4,2.4,11,75.8,5.0,2.2,0,0,0,1,0,0.3621933734690752,0.0,0.3520113927126269,0.6195348850221125,0.3590907700769465,0.4352723530983455,0.4000192648008134,0.0,0.3980499585776921,0.3176953671134993,0.40847974057034175,0.37682933140439423
560334,83.0,0.967,5.4,2.4,11,88.1,6.0,2.3,0,0,0,0,1,0.36086404563838637,0.0,0.2876380993521758,0.25362307006402424,0.414750657193569,0.3887115095175763,0.8248642125934742,0.5434533444307635,0.8325186373050179,0.49576736997419985,0.816350186189532,0.5097276170293236
560334,83.0,0.967,5.4,2.4,11,88.1,6.0,2.3,0,0,0,0,1,0.36086404563838637,0.0,0.2876380993521758,0.25362307006402424,0.414750657193569,0.3887115095175763,0.8248642125934742,0.5434533444307635,0.8325186373050179,0.49576736997419985,0.816350186189532,0.5097276170293236
