Session,WCPM,Acc,Comp,Exp,level
29357,33.2,0.969,3.8,1.4,6
29522,40.0,0.76,4.7,1.9,5
29538,22.0,0.73,2.0,1.2,3
29598,30.0,0.838,5.7,1.2,6
29605,48.0,0.8909999999999999,6.3,1.7,7
29611,29.0,0.778,2.6,1.4,4
29619,111.0,0.981,5.3,3.0,14
29639,36.0,0.925,4.6,1.6,6
29682,22.0,0.612,5.8,1.1,3
29692,52.0,0.964,2.0,1.6,8
29736,41.0,0.984,5.7,1.5,7
29891,65.0,0.99,7.0,2.0,9
30056,30.0,0.6709999999999999,5.5,1.4,4
30303,67.0,0.974,5.9,1.9,9
30481,43.0,0.7859999999999999,2.3,1.7,5
31501,30.0,0.966,6.4,1.4,6
32846,69.0,0.985,5.2,2.1,10
33546,80.0,0.99,4.0,2.5,11
33680,25.0,0.6659999999999999,3.7,1.2,3
33759,30.0,0.81,4.2,1.2,4
33883,37.0,0.8290000000000001,2.6,1.3,6
33895,45.0,0.649,4.9,1.6,5
33929,47.0,0.99,6.4,1.5,7
34773,70.0,0.986,7.5,2.9,9
34854,67.0,0.989,6.7,2.2,9
34873,99.0,0.972,5.3,2.6,12
35277,63.0,0.971,7.7,2.4,9
35284,56.0,0.911,5.2,2.5,8
35290,44.0,0.945,5.6,2.2,7
35805,105.0,0.856,4.1,2.8,13
35875,43.0,0.898,5.3,1.7,7
37578,80.0,0.966,5.5,1.9,11
37822,78.0,0.98,6.1,2.4,10
37944,79.0,0.962,8.0,2.1,11
38397,102.0,1.0,5.4,2.7,13
38623,32.0,0.733,3.8,1.2,4
38858,119.0,1.0,6.8,3.4,15
39486,130.0,1.0,6.8,3.1,16
42724,95.0,1.0,6.1,2.8,12
42844,87.0,1.0,6.9,2.8,11
43543,81.0,1.0,8.0,2.5,11
44131,20.0,0.767,3.9,1.2,3
44185,98.0,0.995,6.0,3.0,12
45049,83.0,1.0,7.7,2.5,11
45123,82.0,1.0,6.3,2.4,11
45520,68.0,0.93,6.6,2.1,9
45609,108.0,1.0,7.3,3.3,13
46016,54.0,0.946,6.0,1.5,8
46486,23.0,0.684,3.3,1.3,3
46513,24.0,0.765,6.1,1.2,3
46628,29.0,0.868,5.3,1.3,6
46757,82.0,1.0,5.6,2.6,11
46769,38.0,0.988,5.9,1.4,6
47309,114.0,1.0,6.8,3.4,14
47410,39.0,0.924,6.3,1.4,7
47419,140.0,0.959,7.3,3.5,17
47650,51.0,0.994,4.7,1.6,8
48481,93.0,1.0,7.1,3.0,12
48778,65.0,0.93,4.4,2.1,9
49071,72.0,0.995,6.2,2.0,10
49177,96.0,1.0,8.0,2.9,12
49270,40.0,0.804,3.3,1.4,5
49301,87.0,0.894,4.7,2.0,11
49397,59.0,0.99,5.5,1.7,9
49812,79.0,0.85,2.6,2.0,11
