Session,WCPM,Acc,Comp,Exp,level,B_new,C_new,E_new,F_new,G_new,H_new,J_new,K_new,L_new,M_new,N_new,O_new,P_new,Q_new,mlevel_numeric,form_numeric,mlevel_form_diff,text_is_above_level
48184.0,55.0,0.745,5.2,1.8,5.0,3.0,3.0,3.0,1.0,0.0,1.0,0.0,3.0,1.0,3.0,3.0,3.0,1.0,2.0,5,4,1,1
48600.0,72.0,0.9640000000000001,7.7,2.1,8.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,8,4,4,1
48764.0,30.0,0.826,6.2,1.3,5.0,3.0,3.0,3.0,3.0,3.0,2.0,0.0,3.0,1.0,2.0,3.0,3.0,3.0,0.0,5,4,1,1
49022.0,76.0,1.0,5.6,2.3,9.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,8,4,4,1
49939.0,83.0,0.917,4.7,2.3,9.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,0.0,3.0,3.0,2.0,8,4,4,1
50192.0,117.0,1.0,4.9,3.0,13.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,8,4,4,1
50273.0,145.0,0.965,3.2,3.9,15.0,3.0,3.0,3.0,3.0,0.0,3.0,2.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,8,4,4,1
50305.0,114.0,1.0,4.7,3.1,12.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,8,4,4,1
50472.0,22.0,0.723,5.2,1.9,2.0,2.0,3.0,3.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,3.0,3.0,0.0,2,4,-2,0
50615.0,111.0,1.0,4.6,3.3,12.0,3.0,3.0,3.0,3.0,0.0,3.0,2.0,3.0,3.0,3.0,0.0,3.0,3.0,2.0,8,4,4,1
50630.0,97.0,0.996,6.0,2.6,11.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,8,4,4,1
50856.0,55.0,1.0,7.0,2.0,7.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,7,4,3,1
51387.0,26.0,0.743,4.2,1.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,2,4,-2,0
51561.0,40.0,0.982,5.1,1.4,6.0,3.0,2.0,3.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,3.0,2.0,3.0,1.0,6,4,2,1
51620.0,82.0,0.9359999999999999,5.8,2.5,9.0,3.0,3.0,1.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,8,4,4,1
51669.0,100.0,0.925,5.1,1.9,11.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,8,4,4,1
51758.0,28.0,0.8170000000000001,4.3,1.3,3.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,2.0,2.0,3,4,-1,0
51828.0,55.0,0.968,4.4,1.7,7.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,7,4,3,1
52191.0,29.0,0.773,4.2,1.1,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,5,4,1,1
52302.0,26.0,0.853,4.1,1.1,4.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,2.0,2.0,4,4,0,0
52410.0,35.0,0.873,3.7,1.6,5.0,3.0,3.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,0.0,5,4,1,1
52808.0,84.0,1.0,6.6,2.3,10.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,8,4,4,1
52924.0,31.0,0.838,5.8,1.3,5.0,3.0,3.0,3.0,3.0,2.0,2.0,0.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,5,4,1,1
53186.0,70.0,0.9590000000000001,5.7,2.0,8.0,3.0,3.0,3.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,8,4,4,1
53337.0,117.0,0.9209999999999999,4.0,2.3,13.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,0.0,3.0,3.0,1.0,8,4,4,1
53571.0,23.0,0.753,4.3,1.2,2.0,3.0,3.0,3.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,2,4,-2,0
53763.0,44.0,0.8859999999999999,6.4,1.6,6.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,6,4,2,1
30322.0,69.0,0.971,4.6,2.1,9.0,3.0,3.0,3.0,2.0,0.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,9,8,1,1
30948.0,25.0,0.8809999999999999,2.0,1.1,5.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,5,8,-3,0
31426.0,37.0,0.79,3.8,1.4,4.0,2.0,2.0,3.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,3.0,1.0,3.0,4,8,-4,0
31564.0,29.0,0.953,2.5,1.3,6.0,3.0,2.0,3.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,3.0,1.0,3.0,6,8,-2,0
31708.0,57.0,0.986,3.6,1.9,8.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,2.0,1.0,3.0,0.0,3.0,3.0,3.0,8,8,0,0
31888.0,61.0,0.986,3.9,1.9,8.0,3.0,2.0,3.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,0.0,3.0,3.0,3.0,8,8,0,0
32061.0,44.0,0.9359999999999999,4.0,1.6,7.0,3.0,3.0,3.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,7,8,-1,0
32291.0,40.0,0.9440000000000001,3.5,1.5,7.0,3.0,3.0,3.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,2.0,7,8,-1,0
32379.0,28.0,0.871,2.7,1.7,5.0,2.0,3.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,5,8,-3,0
32725.0,157.0,1.0,6.2,4.0,17.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,12,8,4,1
32799.0,38.0,0.784,4.6,1.7,4.0,3.0,2.0,3.0,2.0,2.0,3.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,4,8,-4,0
32825.0,58.0,0.9570000000000001,3.1,1.9,8.0,3.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,0.0,3.0,3.0,3.0,8,8,0,0
33067.0,40.0,0.897,4.1,1.5,7.0,3.0,3.0,3.0,3.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,2.0,7,8,-1,0
33273.0,74.0,0.9229999999999999,4.7,2.2,10.0,3.0,3.0,3.0,3.0,0.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,10,8,2,1
33503.0,68.0,0.971,5.0,2.2,9.0,3.0,2.0,3.0,1.0,0.0,3.0,1.0,3.0,1.0,3.0,0.0,3.0,3.0,3.0,9,8,1,1
38447.0,107.0,0.977,3.5,2.9,13.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,12,8,4,1
38740.0,118.0,0.943,2.9,2.9,14.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,0.0,2.0,3.0,2.0,12,8,4,1
39115.0,124.0,0.983,6.1,3.5,14.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,12,8,4,1
39707.0,20.0,0.705,1.8,1.3,3.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,3.0,3,8,-5,0
40615.0,129.0,1.0,5.1,3.7,15.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,12,8,4,1
40867.0,73.0,0.977,6.0,2.3,9.0,3.0,3.0,3.0,2.0,0.0,3.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,9,8,1,1
41057.0,52.0,0.9309999999999999,4.1,1.7,8.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0,2.0,3.0,0.0,3.0,3.0,3.0,8,8,0,0
41148.0,25.0,0.742,3.3,1.5,3.0,3.0,3.0,3.0,1.0,1.0,3.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,3,8,-5,0
41151.0,53.0,0.986,5.4,1.8,8.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,8,8,0,0
41190.0,73.0,0.991,4.7,2.1,9.0,3.0,3.0,3.0,2.0,0.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,9,8,1,1
41200.0,84.0,0.99,4.8,2.4,10.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,10,8,2,1
41335.0,30.0,0.8759999999999999,3.8,1.5,6.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,6,8,-2,0
41345.0,57.0,0.92,4.6,1.8,8.0,3.0,2.0,2.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,3.0,3.0,2.0,8,8,0,0
41360.0,52.0,0.898,5.1,1.7,8.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,8,8,0,0
41384.0,23.0,0.68,2.7,1.3,3.0,2.0,2.0,3.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,3.0,2.0,3,8,-5,0
41465.0,25.0,0.831,4.0,1.3,5.0,3.0,3.0,3.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,3.0,3.0,2.0,5,8,-3,0
41473.0,91.0,0.956,5.8,2.7,11.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,11,8,3,1
