Response,WCPM,Acc,Comp,Exp,level,WCPM_response,Comp_response,Exp_response,undetermined,1_or_2,2_unanimous,2_or_3,3_unanimous
655107,88.0,0.982,5.7,3.3,11,102.0,5.6,3.7,0,0,0,1,0
655111,88.0,0.982,5.7,3.3,11,63.1,4.9,3.2,0,0,0,0,1
655115,88.0,0.982,5.7,3.3,11,91.9,6.5,3.2,0,0,0,1,0
655115,88.0,0.982,5.7,3.3,11,91.9,6.5,3.2,0,0,0,1,0
655115,88.0,0.982,5.7,3.3,11,91.9,6.5,3.2,0,0,0,1,0
679527,89.0,0.934,4.8,2.5,11,67.5,5.6,2.1,0,0,0,1,0
679527,89.0,0.934,4.8,2.5,11,67.5,5.6,2.1,0,0,0,1,0
679527,89.0,0.934,4.8,2.5,11,67.5,5.6,2.1,0,0,0,1,0
679527,89.0,0.934,4.8,2.5,11,67.5,5.6,2.1,0,0,0,1,0
679527,89.0,0.934,4.8,2.5,11,67.5,5.6,2.1,0,0,0,1,0
679531,89.0,0.934,4.8,2.5,11,90.8,3.1,2.7,0,0,1,0,0
679531,89.0,0.934,4.8,2.5,11,90.8,3.1,2.7,0,0,1,0,0
679531,89.0,0.934,4.8,2.5,11,90.8,3.1,2.7,0,0,1,0,0
679535,89.0,0.934,4.8,2.5,11,81.5,5.8,2.4,0,0,0,1,0
679535,89.0,0.934,4.8,2.5,11,81.5,5.8,2.4,0,0,0,1,0
679535,89.0,0.934,4.8,2.5,11,81.5,5.8,2.4,0,0,0,1,0
680973,28.0,0.912,3.1,1.3,5,27.6,2.3,1.3,0,0,1,0,0
680973,28.0,0.912,3.1,1.3,5,27.6,2.3,1.3,0,0,1,0,0
680973,28.0,0.912,3.1,1.3,5,27.6,2.3,1.3,0,0,1,0,0
680973,28.0,0.912,3.1,1.3,5,27.6,2.3,1.3,0,0,1,0,0
680973,28.0,0.912,3.1,1.3,5,27.6,2.3,1.3,0,0,1,0,0
680977,28.0,0.912,3.1,1.3,5,21.1,3.0,1.2,0,0,0,1,0
680977,28.0,0.912,3.1,1.3,5,21.1,3.0,1.2,0,0,0,1,0
680977,28.0,0.912,3.1,1.3,5,21.1,3.0,1.2,0,0,0,1,0
680981,28.0,0.912,3.1,1.3,5,30.2,4.0,1.4,1,0,0,0,0
680981,28.0,0.912,3.1,1.3,5,30.2,4.0,1.4,1,0,0,0,0
680981,28.0,0.912,3.1,1.3,5,30.2,4.0,1.4,1,0,0,0,0
681367,56.0,0.948,4.2,2.0,8,48.0,2.6,1.8,0,0,1,0,0
681367,56.0,0.948,4.2,2.0,8,48.0,2.6,1.8,0,0,1,0,0
681371,56.0,0.948,4.2,2.0,8,62.4,3.8,2.1,0,0,0,1,0
681371,56.0,0.948,4.2,2.0,8,62.4,3.8,2.1,0,0,0,1,0
681371,56.0,0.948,4.2,2.0,8,62.4,3.8,2.1,0,0,0,1,0
682698,97.0,0.934,3.5,3.0,12,103.4,2.7,2.7,0,0,0,0,1
682698,97.0,0.934,3.5,3.0,12,103.4,2.7,2.7,0,0,0,0,1
682698,97.0,0.934,3.5,3.0,12,103.4,2.7,2.7,0,0,0,0,1
682698,97.0,0.934,3.5,3.0,12,103.4,2.7,2.7,0,0,0,0,1
682702,97.0,0.934,3.5,3.0,12,95.2,3.6,3.0,0,0,0,0,1
682702,97.0,0.934,3.5,3.0,12,95.2,3.6,3.0,0,0,0,0,1
682702,97.0,0.934,3.5,3.0,12,95.2,3.6,3.0,0,0,0,0,1
682706,97.0,0.934,3.5,3.0,12,96.5,4.1,3.0,0,0,0,0,1
682706,97.0,0.934,3.5,3.0,12,96.5,4.1,3.0,0,0,0,0,1
682706,97.0,0.934,3.5,3.0,12,96.5,4.1,3.0,0,0,0,0,1
684830,79.0,0.983,5.9,2.4,10,77.1,5.5,2.8,0,0,0,1,0
684830,79.0,0.983,5.9,2.4,10,77.1,5.5,2.8,0,0,0,1,0
684830,79.0,0.983,5.9,2.4,10,77.1,5.5,2.8,0,0,0,1,0
684830,79.0,0.983,5.9,2.4,10,77.1,5.5,2.8,0,0,0,1,0
684830,79.0,0.983,5.9,2.4,10,77.1,5.5,2.8,0,0,0,1,0
684835,79.0,0.983,5.9,2.4,10,85.7,4.0,2.6,0,0,0,0,1
684835,79.0,0.983,5.9,2.4,10,85.7,4.0,2.6,0,0,0,0,1
684835,79.0,0.983,5.9,2.4,10,85.7,4.0,2.6,0,0,0,0,1
684840,79.0,0.983,5.9,2.4,10,65.2,8.0,2.2,0,0,0,0,1
684840,79.0,0.983,5.9,2.4,10,65.2,8.0,2.2,0,0,0,0,1
684840,79.0,0.983,5.9,2.4,10,65.2,8.0,2.2,0,0,0,0,1
685076,101.0,0.961,3.3,3.1,12,115.4,2.7,3.6,0,0,0,0,1
685076,101.0,0.961,3.3,3.1,12,115.4,2.7,3.6,0,0,0,0,1
685076,101.0,0.961,3.3,3.1,12,115.4,2.7,3.6,0,0,0,0,1
685076,101.0,0.961,3.3,3.1,12,115.4,2.7,3.6,0,0,0,0,1
685076,101.0,0.961,3.3,3.1,12,115.4,2.7,3.6,0,0,0,0,1
685081,101.0,0.961,3.3,3.1,12,103.0,3.9,3.0,0,0,0,0,1
