item,token,not_sightword,not_decodable,not_decodable_at_grade_level
350,the,,,
350,moon,1,,
350,people,,1,
350,in,,,
350,other,,1,
350,cultures,1,,1
350,see,,,
350,a,,,
350,goddess,1,,
350,or,,,
350,a,,,
350,boy,,,
350,picking,1,,
350,up,,,
350,sticks,,,
350,the,,,
350,shapes,1,,1
350,on,,,
350,the,,,
350,moon,1,,
350,are,,,
350,made,,,
350,out,,,
350,of,,,
350,shadows,1,,
350,the,,,
350,moon,1,,
350,is,,,
350,covered,1,1,
350,in,,,
350,rocks,,,
350,the,,,
350,shadows,1,,
350,made,,,
350,by,,,
350,those,,1,
350,moon,1,,
350,rocks,,,
350,can,,,
350,look,,,
350,like,,,
350,a,,,
350,face,,,1
350,or,,,
350,a,,,
350,rabbit,1,,
350,or,,,
350,a,,,
350,boy,,,
2203,brian,1,,1
2203,loves,,1,
2203,summer,1,,
2203,camp,1,,
2203,he,,,
2203,goes,,,
2203,every,,1,
2203,summer,1,,
2203,the,,,
2203,camp,1,,
2203,leaders,1,,1
2203,are,,,
2203,very,,1,
2203,helpful,,,
2203,and,,,
2203,have,,,
2203,lots,,,
2203,of,,,
2203,fun,,,
2203,ideas,1,,1
2203,this,,,
2203,year,1,,
2203,they,,,
2203,went,,,
2203,for,,,
2203,an,,,
2203,overnight,1,,1
2203,hike,1,,
2203,to,,,
2203,a,,,
2203,lake,,,
2203,on,,,
2203,the,,,
2203,way,,,
2203,they,,,
2203,saw,,,
2203,two,,1,
2203,red,,,
2203,foxes,,,1
2203,playing,,,
2203,in,,,
2203,a,,,
2203,field,1,,1
2203,everyone,,1,
2203,froze,1,,
2203,brian,1,,1
2203,took,,,
2203,pictures,,,1
2203,of,,,
2203,the,,,
2203,foxes,,,1
2203,he,,,
2203,was,,1,
2203,glad,,,
2203,he,,,
2203,brought,1,,1
2203,his,,,
2203,camera,1,,1
2203,with,,,
2203,him,,,
2203,when,,,
2203,they,,,
2203,reached,1,,
2203,the,,,
2203,lake,,,
2203,they,,,
2203,set,1,,
2203,up,,,
2203,camp,1,,
2203,the,,,
2203,night,,,1
2203,sky,,,1
2203,was,,1,
2203,crystal,1,,1
2203,clear,1,,
2203,so,,,
2203,brian,1,,1
2203,watched,,,1
2203,the,,,
2203,stars,,,
2203,for,,,
2203,a,,,
2203,long,,,
2203,time,,,
2203,until,,,
2203,he,,,
2203,fell,,,
2203,asleep,1,,1
2401,today,,1,
2401,is,,,
2401,moving,,1,
2401,day,,,
2401,peter's,1,,1
2401,family,,,1
2401,is,,,
2401,moving,,1,
2401,to,,,
2401,a,,,
2401,new,,,
2401,house,,,
2401,because,,,1
2401,they,,,
2401,need,,,
2401,more,,,
2401,room,,,
2401,his,,,
