item,token,not_sightword,not_decodable,not_decodable_at_grade_level,sightword
1502,food,,,1.0,1
1703,summer,1.0,,1.0,
1703,is,,,,-1
1703,here,,,,-1
1703,pat,,,,0
1703,and,,,,-1
1703,danny,1.0,,1.0,
1703,want,,,,-1
1703,to,,,,-1
1703,walk,,,,0
1703,to,,,,-1
1703,the,,,,-1
1703,beach,1.0,,1.0,
1703,don't,,,,-1
1703,forget,1.0,,1.0,
1703,to,,,,-1
1703,pack,1.0,,,
1703,a,,,,-1
1703,snack,1.0,,,
1703,calls,1.0,,,
1703,mom,,,,1
1703,danny,1.0,,1.0,
1703,packs,1.0,,,
1703,some,,1.0,,0
1703,snacks,1.0,,,
1703,don't,,,,-1
1703,forget,1.0,,1.0,
1703,to,,,,-1
1703,pack,1.0,,,
1703,your,,,,-1
1703,hats,1.0,,,
1703,pat,,,,0
1703,packs,1.0,,,
1703,the,,,,-1
1703,hats,1.0,,,
1703,don't,,,,-1
1703,forget,1.0,,1.0,
1703,to,,,,-1
1703,pack,1.0,,,
1703,your,,,,-1
1703,umbrella,1.0,,1.0, 
1703,an,,,,0
1703,umbrella,1.0,,1.0, 
1703,but,,,,-1
1703,it,,,,-1
1703,is,,,,-1
1703,sunny,,,1.0,1
1703,says,1.0,1.0,, 
1703,danny,1.0,,1.0,
1703,mom,,,,1
1703,opens,,,1.0,0
1703,the,,,,-1
1703,door,,1.0,,0
1703,oh,,,,0
1703,no,,,,-1
1703,says,1.0,1.0,, 
1703,pat,,,,0
1703,it,,,,-1
1703,is,,,,-1
1703,raining,,,1.0,0
1703,let's,,,1.0,1
1703,walk,,,,0
1703,in,,,,-1
1703,the,,,,-1
1703,rain,,,1.0,0
1703,with,,,,-1
1703,our,,,1.0,1
1703,umbrellas,1.0,,1.0, 
2001,it,,,,-1
2001,is,,,,-1
2001,a,,,,-1
2001,windy,,1.0,,1
2001,day,,,,-1
2001,jeff,1.0,,,
2001,wants,,,,-1
2001,to,,,,-1
2001,fly,,,,-1
2001,his,,,,0
2001,new,,,1.0,0
2001,kite,,,1.0,1
2001,it,,,,-1
2001,is,,,,-1
2001,red,,,,-1
2001,and,,,,-1
2001,yellow,,,1.0,1
2001,and,,,,-1
2001,has,,,,0
2001,a,,,,-1
2001,long,,,,1
2001,tail,,,1.0,1
2001,his,,,,0
2001,father,,1.0,,0
2001,gave,,,1.0,1
2001,him,,,,0
2001,the,,,,-1
2001,kite,,,1.0,1
2001,for,,,,-1
2001,his,,,,0
2001,birthday,,,1.0,1
2001,he,,,,-1
2001,goes,,,,-1
2001,out,,,,-1
2001,to,,,,-1
2001,the,,,,-1
2001,field,1.0,,1.0,
2001,he,,,,-1
2001,runs,,,,-1
2001,fast,,,,0
2001,and,,,,-1
2001,lets,,,,1
2001,go,,,,-1
2001,of,,,,-1
2001,the,,,,-1
2001,kite,,,1.0,1
2001,it,,,,-1
2001,starts,,,1.0,1
2001,to,,,,-1
2001,fly,,,,-1
2001,he,,,,-1
2001,lets,,,,1
2001,out,,,,-1
2001,more,,,1.0,0
2001,string,1.0,,,
2001,and,,,,-1
2001,the,,,,-1
2001,kite,,,1.0,1
2001,flies,,,,-1
2001,very,,1.0,,0
2001,high,,,1.0,0
2001,jeff,1.0,,,
2001,stops,,,,-1
2001,running,,,,-1
2001,and,,,,-1
2001,watches,,,1.0,1
2001,the,,,,-1
2001,kite,,,1.0,1
2001,dance,,,1.0,1
2001,high,,,1.0,0
2001,in,,,,-1
2001,the,,,,-1
2001,sky,,,1.0,0
350,do,,,,-1
350,you,,,,-1
350,see,,,,-1
350,a,,,,-1
350,face,,,1.0,1
350,on,,,,-1
350,the,,,,-1
350,moon,1.0,,,
350,lots,,,,0
350,of,,,,-1
350,people,,1.0,,0
350,see,,,,-1
350,something,,1.0,,0
350,the,,,,-1
350,man,,,,-1
350,on,,,,-1
350,the,,,,-1
350,moon,1.0,,,
350,is,,,,-1
350,what,,,,1
350,we,,,,-1
350,see,,,,-1
350,in,,,,-1
350,america,1.0,1.0,,
350,in,,,,-1
350,japan,1.0,1.0,,NAME
350,people,,1.0,,0
350,see,,,,-1
350,a,,,,-1
350,rabbit,1.0,,,
350,on,,,,-1
350,the,,,,-1
350,moon,1.0,,,
350,people,,1.0,,0
350,in,,,,-1
350,other,,1.0,,0
350,cultures,1.0,,1.0,
350,see,,,,-1
350,a,,,,-1
350,goddess,1.0,,,
350,or,,,,0
350,a,,,,-1
350,boy,,,,-1
350,picking,1.0,,,
350,up,,,,-1
350,sticks,,,,1
350,the,,,,-1
350,shapes,1.0,,1.0,
350,on,,,,-1
350,the,,,,-1
350,moon,1.0,,,
350,are,,,,-1
350,made,,,,0
350,out,,,,-1
350,of,,,,-1
350,shadows,1.0,,,
350,the,,,,-1
350,moon,1.0,,,
350,is,,,,-1
350,covered,1.0,1.0,,
350,in,,,,-1
350,rocks,,,,0
350,the,,,,-1
350,shadows,1.0,,,
350,made,,,,0
350,by,,,,-1
350,those,,1.0,,1
350,moon,1.0,,,
350,rocks,,,,0
350,can,,,,-1
350,look,,,,-1
350,like,,,,-1
350,a,,,,-1
350,face,,,1.0,1
350,or,,,,0
350,a,,,,-1
350,rabbit,1.0,,,
350,or,,,,0
350,a,,,,-1
350,boy,,,,-1
2203,brian,1.0,,1.0,
2203,loves,,1.0,,1
2203,summer,1.0,,,
2203,camp,1.0,,,
2203,he,,,,-1
2203,goes,,,,-1
2203,every,,1.0,,0
2203,summer,1.0,,,
2203,the,,,,-1
2203,camp,1.0,,,
2203,leaders,1.0,,1.0,
2203,are,,,,-1
2203,very,,1.0,,0
2203,helpful,,,,-1
2203,and,,,,-1
2203,have,,,,-1
2203,lots,,,,0
2203,of,,,,-1
2203,fun,,,,0
2203,ideas,1.0,,1.0,
2203,this,,,,-1
2203,year,1.0,,,
2203,they,,,,-1
2203,went,,,,0
2203,for,,,,-1
2203,an,,,,0
2203,overnight,1.0,,1.0,"0,0"
2203,hike,1.0,,,
2203,to,,,,-1
2203,a,,,,-1
2203,lake,,,,0
2203,on,,,,-1
2203,the,,,,-1
2203,way,,,,0
2203,they,,,,-1
2203,saw,,,,0
2203,two,,1.0,,0
2203,red,,,,-1
2203,foxes,,,1.0,0
2203,playing,,,,-1
2203,in,,,,-1
2203,a,,,,-1
2203,field,1.0,,1.0,
2203,everyone,,1.0,,1
2203,froze,1.0,,,
2203,brian,1.0,,1.0,
2203,took,,,,0
2203,pictures,,,1.0,1
2203,of,,,,-1
2203,the,,,,-1
2203,foxes,,,1.0,0
2203,he,,,,-1
2203,was,,1.0,,0
2203,glad,,,,1
2203,he,,,,-1
2203,brought,1.0,,1.0,
2203,his,,,,0
2203,camera,1.0,,1.0, 
2203,with,,,,-1
2203,him,,,,0
2203,when,,,,0
2203,they,,,,-1
2203,reached,1.0,,,
2203,the,,,,-1
2203,lake,,,,0
2203,they,,,,-1
2203,set,1.0,,,
2203,up,,,,-1
2203,camp,1.0,,,
2203,the,,,,-1
2203,night,,,1.0,0
2203,sky,,,1.0,0
2203,was,,1.0,,0
2203,crystal,1.0,,1.0,
2203,clear,1.0,,,
2203,so,,,,-1
2203,brian,1.0,,1.0,
2203,watched,,,1.0,1
2203,the,,,,-1
2203,stars,,,,1
2203,for,,,,-1
2203,a,,,,-1
2203,long,,,,1
2203,time,,,,-1
2203,until,,,,1
2203,he,,,,-1
2203,fell,,,,1
2203,asleep,1.0,,1.0,
2401,today,,1.0,,0
2401,is,,,,-1
2401,moving,,1.0,,1
2401,day,,,,-1
2401,peter's,1.0,,1.0, 
2401,family,,,1.0,1
2401,is,,,,-1
2401,moving,,1.0,,1
2401,to,,,,-1
2401,a,,,,-1
2401,new,,,,0
2401,house,,,,0
2401,because,,,1.0,1
2401,they,,,,-1
2401,need,,,,0
2401,more,,,,0
2401,room,,,,1
2401,his,,,,0
2401,grandparents,1.0,,1.0, 
2401,are,,,,-1
2401,coming,,1.0,,1
2401,to,,,,-1
2401,live,,1.0,,
2401,with,,,,-1
2401,them,,1.0,,0
2401,peter,1.0,,1.0, 
2401,is,,,,-1
2401,excited,1.0,,1.0,
2401,about,,,1.0,0
2401,moving,,1.0,,1
2401,because,,,1.0,1
2401,the,,,,-1
2401,new,,,,0
2401,house,,,,0
2401,is,,,,-1
2401,close,,,,1
2401,to,,,,-1
2401,the,,,,-1
2401,school,,,1.0,0
2401,he,,,,-1
2401,can,,,,-1
2401,walk,,,,0
2401,to,,,,-1
2401,school,,,1.0,0
2401,now,,,,0
2401,instead,1.0,,, 
2401,of,,,,-1
2401,riding,,,,-1
2401,the,,,,-1
2401,bus,,,,1
2401,there,,1.0,,0
2401,is,,,,-1
2401,a,,,,-1
2401,work,,,1.0,0
2401,shed,1.0,,,
2401,in,,,,-1
2401,the,,,,-1
2401,back,,,,0
2401,where,,,,-1
2401,he,,,,-1
2401,and,,,,-1
2401,grandpa,1.0,,, 
2401,can,,,,-1
2401,work,,,1.0,0
2401,together,,1.0,,1
2401,on,,,,-1
2401,wood,,,,1
2401,projects,1.0,,,
2401,peter,1.0,,1.0, 
2401,hopes,1.0,,1.0,
2401,they,,,,-1
2401,can,,,,-1
2401,build,1.0,1.0,,
2401,a,,,,-1
2401,tree,,,,0
2401,house,,,,0
2401,in,,,,-1
2401,the,,,,-1
2401,large,1.0,,1.0,
2401,oak,1.0,,,
2401,tree,,,,0
330,sam,1.0,,,
330,and,,,,-1
330,jo,1.0,,1.0,
330,went,,,,0
330,for,,,,-1
330,a,,,,-1
330,hike,1.0,,,
330,they,,,,-1
330,took,,,,0
330,a,,,,-1
330,path,1.0,,,
330,through,1.0,1.0,,
330,the,,,,-1
330,woods,,,,1
330,suddenly,1.0,,1.0,
330,sam,1.0,,,
330,heard,,1.0,,1
330,a,,,,-1
330,noise,,,,1
330,coming,,1.0,,1
330,from,,,,-1
330,the,,,,-1
330,tree,,,,0
330,above,1.0,1.0,,
330,their,,1.0,,1
330,heads,1.0,,,
330,jo,1.0,,1.0,
330,climbed,1.0,1.0,,
330,up,,,,-1
330,to,,,,-1
330,see,,,,-1
330,what,,,,1
330,the,,,,-1
330,noise,,,,1
330,was,,1.0,,0
330,and,,,,-1
330,found,,,,0
330,two,,1.0,,0
330,baby,1.0,,1.0,
330,squirrels,,,,1
330,the,,,,-1
330,babies,1.0,,1.0, 
330,were,,1.0,,0
330,alone,,,1.0,1
330,but,,,,-1
330,their,,1.0,,1
330,mother,,1.0,,0
330,must,,,,0
330,be,,,,-1
330,somewhere,1.0,1.0,,"0,-1"
330,near,,,,1
330,the,,,,-1
330,children,,,,1
330,watched,,,1.0,1
330,and,,,,-1
330,waited,,,,0
330,sure,1.0,1.0,, 
330,enough,1.0,1.0,,
330,the,,,,-1
330,mother,,1.0,,0
330,soon,,,,1
330,returned,1.0,,1.0, 
330,with,,,,-1
330,a,,,,-1
330,mouthful,1.0,,1.0,
330,of,,,,-1
330,nuts,1.0,,,
330,the,,,,-1
330,noises,,,1.0,1
330,stopped,,,,-1
330,as,,,,0
330,the,,,,-1
330,baby,1.0,,1.0,
330,squirrels,,,,1
330,began,,,1.0,1
330,to,,,,-1
330,eat,,,,0
330,sam,1.0,,,
330,and,,,,-1
330,jo,1.0,,1.0,
330,smiled,,,1.0,1
330,knowing,,,1.0,0
330,the,,,,-1
330,squirrels,,,,1
330,were,,1.0,,0
330,safe,1.0,,,
330,with,,,,-1
330,their,,1.0,,1
330,mother,,1.0,,0
2201,how,,,,0
2201,do,,,,-1
2201,plants,1.0,,,
2201,find,,,,0
2201,homes,,,,-1
2201,i,,,,-1
2201,saw,,,,0
2201,a,,,,-1
2201,flower,,,1.0,1
2201,growing,,,,1
2201,in,,,,-1
2201,a,,,,-1
2201,sidewalk,1.0,,,"1,0"
2201,i,,,,-1
2201,wondered,1.0,,1.0, 
2201,how,,,,0
2201,the,,,,-1
2201,plant,,,,0
2201,got,,,,0
2201,there,,1.0,,0
2201,seeds,1.0,,,
2201,travel,1.0,,,
2201,in,,,,-1
2201,different,1.0,,, 
2201,ways,,,,0
2201,some,,1.0,,0
2201,seeds,1.0,,,
2201,just,,,,0
2201,drop,1.0,,,
2201,to,,,,-1
2201,the,,,,-1
2201,ground,,,,1
2201,the,,,,-1
2201,wind,,1.0,,1
2201,or,,,,0
2201,birds,,,,0
2201,carry,1.0,,1.0,
2201,seeds,1.0,,,
2201,to,,,,-1
2201,new,,,,0
2201,places,,,1.0,0
2201,nearby,1.0,,1.0,"1, -1"
2201,or,,,,0
2201,far,,,,1
2201,away,,,,0
2201,water,,,1.0,0
2201,can,,,,-1
2201,take,,,,0
2201,seeds,1.0,,,
2201,on,,,,-1
2201,a,,,,-1
2201,journey,1.0,1.0,, 
2201,some,,1.0,,0
2201,animals,,,,0
2201,hide,,,,-1
2201,seeds,1.0,,,
2201,in,,,,-1
2201,the,,,,-1
2201,ground,,,,1
2201,seeds,1.0,,,
2201,can,,,,-1
2201,stick,,,,1
2201,to,,,,-1
2201,an,,,,0
2201,animal's,,,1.0,0
2201,fur,1.0,,,
2201,or,,,,0
2201,to,,,,-1
2201,a,,,,-1
2201,person's,1.0,,1.0,
2201,socks,1.0,,,
2201,when,,,,0
2201,the,,,,-1
2201,seeds,1.0,,,
2201,fall,,,,0
2201,on,,,,-1
2201,the,,,,-1
2201,ground,,,,1
2201,they,,,,-1
2201,wait,,,,0
2201,for,,,,-1
2201,sun,,,,0
2201,and,,,,-1
2201,water,,,1.0,0
2201,to,,,,-1
2201,grow,,,,0
2202,room,,,,1
2202,six,,,,1
2202,is,,,,-1
2202,learning,1.0,1.0,,
2202,to,,,,-1
2202,grow,,,,0
2202,plants,1.0,,,
2202,each,,,,0
2202,student,1.0,,1.0, 
2202,has,,,,0
2202,a,,,,-1
2202,plant,,,,0
2202,and,,,,-1
2202,a,,,,-1
2202,pot,,,,1
2202,the,,,,-1
2202,kids,1.0,,,
2202,will,,,,-1
2202,learn,1.0,1.0,,
2202,to,,,,-1
2202,take,,,,0
2202,care,,,,1
2202,of,,,,-1
2202,the,,,,-1
2202,houseplants,1.0,,,"0,0"
2202,as,,,,0
2202,they,,,,-1
2202,grow,,,,0
2202,everyday,1.0,1.0,,"0,-1"
2202,they,,,,-1
2202,will,,,,-1
2202,write,1.0,,1.0,
2202,in,,,,-1
2202,their,,1.0,,1
2202,journals,1.0,1.0,, 
2202,as,,,,0
2202,they,,,,-1
2202,learn,1.0,1.0,,
2202,about,,,1.0,0
2202,the,,,,-1
2202,needs,,,,0
2202,of,,,,-1
2202,their,,1.0,,1
2202,plants,1.0,,,
2202,at,,,,-1
2202,the,,,,-1
2202,end,,,,0
2202,of,,,,-1
2202,the,,,,-1
2202,school,,,1.0,0
2202,year,1.0,,,
2202,they,,,,-1
2202,will,,,,-1
2202,take,,,,0
2202,their,,1.0,,1
2202,plants,1.0,,,
2202,home,,,,-1
2202,but,,,,-1
2202,for,,,,-1
2202,now,,,,0
2202,the,,,,-1
2202,classroom,1.0,,,"1,1"
2202,is,,,,-1
2202,much,,,,0
2202,greener,,,1.0,0
2202,with,,,,-1
2202,so,,,,-1
2202,many,,1.0,,0
2202,different,1.0,,, 
2202,plants,1.0,,,
2202,around,,,1.0,1
2202,the,,,,-1
2202,room,,,,1
310,meg,1.0,,,
310,wanted,,,,-1
310,to,,,,-1
310,bake,,,,1
310,a,,,,-1
310,pie,1.0,,1.0, 
310,she,,,,-1
310,asked,,,,0
310,her,,,,0
310,mother,,1.0,,0
310,for,,,,-1
310,help,,,,-1
310,they,,,,-1
310,measured,1.0,,1.0,
310,the,,,,-1
310,flour,1.0,,,
310,sugar,1.0,1.0,,
310,and,,,,-1
310,butter,1.0,,,
310,for,,,,-1
310,the,,,,-1
310,crust,1.0,,,
310,her,,,,0
310,mother,,1.0,,0
310,showed,,,,0
310,her,,,,0
310,how,,,,0
310,to,,,,-1
310,roll,1.0,,,
310,out,,,,-1
310,the,,,,-1
310,crust,1.0,,,
310,meg,1.0,,,
310,sliced,1.0,,1.0,
310,the,,,,-1
310,apples,,,1.0,1
310,and,,,,-1
310,put,,1.0,,0
310,them,,1.0,,0
310,in,,,,-1
310,the,,,,-1
310,pie,1.0,,1.0, 
310,pan,1.0,,,
310,they,,,,-1
310,put,,1.0,,0
310,the,,,,-1
310,pie,1.0,,1.0, 
310,in,,,,-1
310,the,,,,-1
310,hot,,,,0
310,oven,1.0,1.0,, 
310,and,,,,-1
310,waited,,,,0
310,forty,,,,
310,five,,,,0
310,minutes,,1.0,,
310,as,,,,0
310,the,,,,-1
310,pie,1.0,,1.0, 
310,baked,,,1.0,1
310,a,,,,-1
310,delicious,1.0,,1.0,
310,smell,,,,1
310,filled,,,,1
310,the,,,,-1
310,kitchen,1.0,,1.0,
310,when,,,,0
310,the,,,,-1
310,timer,,,,-1
310,rang,1.0,,,
